Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","buzz_14mm_CUI_CEP-1162",25.200000,-40.700000,0.000000,top
"C1","100u","CP_Elec_6.3x5.7",31.900000,-18.200000,90.000000,top
"C2","100u","CP_Elec_6.3x5.7",45.200000,-41.200000,-90.000000,top
"C3","1u","C_0805_2012Metric",38.800000,-47.200000,180.000000,top
"C4","100n","C_0805_2012Metric",35.050000,-47.200000,180.000000,top
"C5","100n","C_0805_2012Metric",22.700000,-32.400000,180.000000,top
"C6","100n","C_0805_2012Metric",19.400000,-25.200000,0.000000,top
"C7","100n","C_0805_2012Metric",26.300000,-19.850000,-90.000000,top
"C8","100n","C_0805_2012Metric",27.600000,-1.900000,180.000000,top
"C9","100n","C_0805_2012Metric",44.900000,-51.800000,-90.000000,top
"D1","D_Zener","D_SMA",38.000000,-2.600000,180.000000,top
"D2","LED","LED_0805_2012Metric",58.300000,-54.162500,-90.000000,top
"D3","BAT60A","D_SOD-323",18.800000,-28.000000,180.000000,top
"D4","BAT60A","D_SOD-323",11.500000,-28.000000,180.000000,top
"D5","LED","LED_0805_2012Metric",19.400000,-22.900000,180.000000,top
"F1","Fuse","Fuse_1206_3216Metric",45.600000,-2.500000,180.000000,top
"J1","Conn_01x02_Pin","CONN2_284513-2",67.628400,-52.704901,0.000000,top
"J2","Conn_01x04_Pin","JST_S4B-XH-A(LF)(SN)",18.654750,-51.350000,180.000000,top
"J3","Conn_01x05_Pin","JST_S5B-XH-A_LF__SN_",34.400000,-51.312500,0.000000,top
"J4","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",1.900000,-34.420000,180.000000,top
"L1","100u","IND_CDRH127-LDNP-470MC_SUM",41.200000,-29.700000,0.000000,top
"Q1","S8050","SOT-23",6.337500,-31.550000,0.000000,top
"Q2","S8050","SOT-23",6.362500,-37.300000,0.000000,top
"Q3","MMBT3904","SOT-23",14.300000,-43.462500,-90.000000,top
"R1","3k3","R_0805_2012Metric",60.800000,-54.187500,90.000000,top
"R2","5k","R_0805_2012Metric",9.800000,-35.400000,90.000000,top
"R3","5k","R_0805_2012Metric",11.900000,-35.400000,90.000000,top
"R4","3k3","R_0805_2012Metric",9.800000,-30.900000,90.000000,top
"R5","3k3","R_0805_2012Metric",11.900000,-30.900000,90.000000,top
"R6","100","R_0805_2012Metric",15.300000,-28.000000,180.000000,top
"R7","0","R_0805_2012Metric",14.787500,-36.100000,180.000000,top
"R8","12k","R_0805_2012Metric",6.112500,-34.400000,0.000000,top
"R9","12k","R_0805_2012Metric",6.100000,-28.600000,0.000000,top
"R10","3k3","R_0805_2012Metric",9.900000,-25.000000,-90.000000,top
"R11","3k3","R_0805_2012Metric",7.300000,-23.600000,90.000000,top
"R12","3k3","R_0805_2012Metric",5.100000,-23.600000,90.000000,top
"R13","3k3","R_0805_2012Metric",23.100000,-22.900000,0.000000,top
"R14","0","R_0402_1005Metric",16.400000,-22.400000,0.000000,top
"R15","0","R_0402_1005Metric",14.100000,-22.400000,180.000000,top
"R16","10k","R_0805_2012Metric",31.387500,-1.900000,0.000000,top
"R17","1k","R_0805_2012Metric",14.312500,-46.700000,180.000000,top
"R18","1k","R_0805_2012Metric",14.312500,-40.100000,180.000000,top
"SW1","SW_Push","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin",28.300000,-8.300000,90.000000,top
"U1","HLK-10M12","HLK-10_HLK",59.700000,-46.616596,90.000000,top
"U2","LM2576HVS-5","TO-263-5_TabPin3",42.125000,-11.475000,90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",36.900000,-41.200000,90.000000,top
"U4","ESP32-WROOM-32U","ESP32-WROOM-32U",14.750000,-11.665000,180.000000,top
"U5","LMV358","SOIC-8_3.9x4.9mm_P1.27mm",16.825000,-32.095000,0.000000,top
"U6","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",14.100000,-25.100000,0.000000,top
